>HAVE_INCLUDES +proj4=latlong
> INCLUDE=C:\SVN\mironeWC\data\isocs\c2a_EU_LO.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c2a_LO_EU.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c2_EU_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c2_NA_EU.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c2a_EU_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c2a_NA_EU.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c3_NA_EU.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c3_EU_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c3a_EU_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c3a_NA_EU.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c4_NA_EU.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c4_EU_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c4a_NA_EU.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c4a_EU_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c2_NA_AF.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c2_AF_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c2a_NA_AF.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c2a_AF_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c3_AF_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c3_NA_AF.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c3a_AF_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c3a_NA_AF.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c4_AF_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c4_NA_AF.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c4a_AF_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c4a_NA_AF.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c5c_AF_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c5c_NA_AF.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c5c_EU_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c5c_NA_EU.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c9_AF_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c9_NA_AF.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c9_EU_NA.dat
> INCLUDE=C:\SVN\mironeWC\data\isocs\c9_NA_EU.dat
> 0 NORTH AMERICA/EURASIA STG 141.9 58.93015 10.3 0.0 -1.155 C0-C5 +proj=longlat
-22.815321 63.797603
-22.862203 63.764120
-23.049729 63.744030
-23.263300 63.680412
-23.492499 63.579962
-23.669607 63.516344
-23.784206 63.476165
-23.971732 63.358974
-24.174885 63.255176
-24.357202 63.188209
-24.628073 63.067670
-24.719961 63.023193
-25.256236 62.701261
-25.828262 62.372479
-26.257281 62.105344
-26.674383 61.845058
-27.341747 61.454630
-27.913773 61.091600
-28.485799 60.687472
-28.840097 60.440886
-29.117411 60.249096
-29.161861 60.214848
-29.376371 60.050457
-29.638550 59.886066
-29.936480 59.673728
-30.270162 59.440841
-30.580009 59.221653
-30.961360 58.968217
-31.295041 58.735330
-31.759813 58.420248
-32.617852 57.803782
-32.856196 57.598293
-33.356718 57.214714
-33.797655 56.927030
-34.377757 56.695390
-34.394688 56.454140
-34.425165 56.080592
-34.594456 55.940685
-34.856635 55.735196
-35.142648 55.488610
-35.249902 55.276272
-35.273737 55.057084
-35.154565 54.899543
-35.241995 54.647377
-35.191964 54.493895
-35.149081 54.384266
-35.099051 54.249055
-35.214151 54.009092
-35.299173 53.850734
-35.321406 53.680310
-35.320614 53.445104
-35.313467 53.257272
-35.163376 53.217074
-35.149081 53.070901
-35.099051 52.902802
-35.024379 52.701671
-31.579215 52.563203
-31.554399 52.177944
-30.045917 52.088852
-29.875783 50.813744
-29.731059 50.781917
-29.648094 50.609410
-29.497402 50.608113
-29.393136 50.385643
-29.286794 50.384893
-29.130481 50.192066
-28.844944 49.892470
-28.751212 49.808142
-28.573430 49.787389
-28.509089 49.587645
-28.451522 49.452753
-28.368256 49.286278
-28.290794 49.125312
-28.183539 49.008869
-28.088202 48.933523
-27.965811 48.829988
-27.969085 48.689506
-27.959261 48.318231
-27.534051 48.019099
-27.540010 47.930054
-27.540010 47.864982
-27.557886 47.724565
-27.557886 47.635520
-27.355293 47.577298
-27.331683 46.564137
-27.431300 46.531052
-27.581131 45.995101
-27.698820 45.981107
-27.795569 45.702263
-28.178494 44.753869
-28.327287 44.394478
-28.381705 44.233285
-28.445447 44.058381
-28.511091 43.872030
-28.555000 43.769000
-28.702057 43.768149
-28.895078 43.446483
-29.020372 43.231174
-29.101644 43.101470
-29.304538 43.023467
-29.365806 42.364583
-29.243270 42.281390
-29.247646 42.154938
-29.255870 41.815513
-29.295256 41.632489
-29.365277 41.472760
-29.354336 41.120024
-29.279922 41.083858
-29.291840 40.905768
-29.300091 40.772391
-29.318337 40.623830
-29.512308 40.566711
-29.548060 40.409170
-29.571894 40.275602
-29.643852 40.172231
-29.686571 40.055249
-29.713094 39.928651
-29.693908 39.743214
-29.715195 39.559467
-29.836837 39.500824
-29.941875 39.398149
-29.990532 39.261316
-30.002696 39.065841
-30.033107 38.882094
> 0 NORTH AMERICA/AFRICA FIN"40.2 79.2 0.233 0" STG0"40.2 79.2 1.82 0 -0.212" STG1"40.2 79.2 1.82 0.0 0.212"
-30.033107 38.882094
-30.275626 38.451669
-30.576989 38.456342
-30.623951 38.364782
-30.699638 38.209902
-30.728176 38.097262
-30.766640 38.005013
-31.479631 38.013805
-31.636819 37.550873
-32.175517 37.533406
-32.379621 37.101705
-32.872377 37.106435
-32.977408 36.940050
-33.204974 36.940050
-33.380778 36.559297
-33.604951 36.578251
-33.808449 36.285784
-33.941851 36.245208
-34.024247 36.079897
-34.106488 36.088160
-34.321890 35.607621
-34.749823 35.602578
-34.926945 35.032750
-36.278232 35.290250
-36.534226 34.562066
-37.023513 34.530935
-37.193273 34.071447
-37.691855 34.068862
-37.736118 33.895165
-37.777615 33.672646
-38.016056 33.687422
-38.079914 33.617181
-38.220729 33.646030
-38.269850 33.579552
-39.011584 33.737246
-39.217752 33.185704
-39.353560 33.179924
-39.466733 33.006532
-39.670446 32.971854
-40.002421 32.555714
-40.183498 32.318745
-40.432480 32.006640
-40.590923 31.723433
-40.817270 31.665636
-40.990802 31.457566
-41.171880 31.266835
-41.285053 31.133902
-41.413316 31.093443
-41.526490 30.879594
-41.775471 30.752440
-41.872340 30.544370
-41.947789 30.376758
-41.977968 30.186027
-42.029277 29.998370
-42.661306 30.131327
-42.756307 29.977956
-42.794031 29.847913
-42.843073 29.688970
-42.860721 29.567596
-42.928625 29.423103
-43.019164 29.365306
-43.139882 29.226592
-43.162517 29.110998
-43.230421 28.960725
-43.328504 28.920267
-43.464313 28.741095
-43.652935 28.538805
-43.705749 28.388532
-43.864192 28.215140
-44.128263 27.689185
-44.210259 27.550472
-44.263073 27.307723
-44.383791 27.070755
-44.489420 26.804887
-44.572414 26.573698
-44.640318 26.336730
-44.783671 26.145999
-44.919479 25.920589
-45.010018 25.857012
-45.274089 25.544907
-45.334448 25.423533
-45.515526 25.070970
-45.537418 24.903358
-45.726040 24.805102
-45.914663 24.729966
-46.042926 24.591253
-46.133465 24.452539
-46.246638 24.435200
-46.314542 24.094196
-46.386349 23.844932
-44.884870 23.650955
-44.919255 23.478870
-44.945453 23.408629
-44.971651 23.325844
-44.968377 23.250586
-44.978201 23.195397
-44.978201 23.140207
-44.984750 23.059931
-44.981476 23.004742
-44.994575 22.786493
-45.014223 22.688657
-45.046971 22.558209
-45.079718 22.225081
-45.145214 22.064530
-45.210709 21.924047
-45.223808 21.798617
-45.269655 21.653117
-45.282754 21.452428
-45.675725 21.459462
-45.728121 21.402256
-45.767419 21.226653
-45.747770 21.101222
-45.793617 20.915585
-45.800166 20.719913
-45.642978 20.649672
-45.649527 20.435018
-45.662626 20.289518
-45.695374 20.103881
-45.741220 19.943330
-45.773968 19.757692
-45.904959 19.757692
-45.950805 19.647313
-45.963904 19.536934
-45.990102 19.386418
-45.990102 19.225866
-46.029399 19.090401
-46.075246 18.959953
-46.107994 18.884695
-46.258633 18.814454
-46.317579 18.673971
-46.356876 18.528472
-46.618857 18.488334
-46.658154 18.372938
-46.631956 18.272593
-46.664703 18.172249
-46.704001 18.026749
-46.723649 17.911353
-46.631956 17.800974
-46.579560 17.665509
-46.514064 17.509975
-46.448569 17.349423
-46.494416 17.160147
-46.494416 16.984544
-46.494416 16.874165
-46.494416 16.703579
-46.559911 16.532994
-46.612307 16.327287
-46.618857 16.171753
-46.631956 16.006185
-46.638505 15.840616
-46.651604 15.569686
-46.674528 15.454247
> 0 SOUTH AMERICA/AFRICA
-44.886507 15.243524
-44.906156 15.067921
-44.938904 14.922421
-44.974926 14.652428
-44.988025 14.456757
-45.001124 14.296205
-45.014223 14.145689
-45.073169 13.990154
-45.086268 13.824586
-45.014223 13.674069
-44.968377 13.393104
-44.896332 13.137226
-44.876683 12.891382
-44.876683 12.665607
-44.097290 12.587160
-44.097290 12.361384
-44.077641 12.180764
-43.841858 12.105506
-43.841858 11.949972
-43.763264 11.829558
-43.730516 11.362956
-43.756714 10.991681
> 5 NORTH AMERICA/AFRICA FIN"55.40 79.50 2.505 10.30" STG1"-54.5 -46.1 19.6 10.30 1.040" STG2_5-6"-132.7 -82.1 19.6 10.30 1.320 10.659"
-32.47796 38.03790
-32.56804 37.93628
-33.08391 37.89489
-33.12321 37.82464
-33.15958 37.76357
-33.37080 37.79869
-33.47519 37.74730
-33.58176 37.72427
-33.92260 37.60552
-34.01757 37.51020
-34.25012 37.41684
-34.37185 37.28575
-34.49409 37.16267
-34.49758 37.01552
-34.53826 36.89154
-34.55742 36.82560
-35.03602 36.71370
-35.08841 36.44026
-35.15391 36.18187
-35.18011 36.09909
-35.29800 36.04139
-35.37115 35.96826
-35.58454 35.80246
-35.75483 35.70463
-35.97695 35.48022
-36.00970 35.40747
-36.17016 35.26950
-36.38302 35.31465
-36.60570 35.35542
-36.73997 35.38677
-36.87587 35.41311
-37.03074 35.43874
-37.20007 35.46454
-37.25486 35.38256
-37.28612 35.31560
-37.30543 35.23475
-37.40367 35.15197
-37.52340 35.11614
-37.66023 35.06639
-37.79661 34.99751
-37.87018 34.91019
-37.98999 34.84657
-38.49983 34.78656
-38.52132 34.72268
-38.57341 34.60884
-38.54150 34.43271
-38.55713 34.33226
