#Total number of fault_segments=     1
#Fault_segment =   1 nx(Along-strike)=  30 Dx= 15.00km ny(downdip)=  15 Dy= 12.00km
#Boundary of Fault_segment     1
#Lon.  Lat.  Depth
95.05957  2.10917  6.60762
92.46840  5.19209  6.60762
93.67144  6.19988 40.49530
96.26260  3.11697 40.49530
95.05957  2.10917  6.60762
#Lon. Lat. depth slip rake strike dip
2.15724  95.04688   7.06556  321.25156   94.22168 320.0  11.0
2.26058  94.96002   7.06556  521.13623   76.61519 320.0  11.0
2.36391  94.87316   7.06556  567.61957   71.52066 320.0  11.0
2.46725  94.78631   7.06556  510.29163   75.21667 320.0  11.0
2.57059  94.69946   7.06556  417.60834   89.54944 320.0  11.0
2.67393  94.61260   7.06556  383.63544  108.56036 320.0  11.0
2.77726  94.52574   7.06556  373.56775  119.15838 320.0  11.0
2.88060  94.43889   7.06556  417.99323  112.58208 320.0  11.0
2.98394  94.35204   7.06556  493.51761  103.42602 320.0  11.0
3.08728  94.26518   7.06556  593.84772  102.43626 320.0  11.0
3.19062  94.17833   7.06556  673.84760  100.83525 320.0  11.0
3.29395  94.09147   7.06556  687.94305   94.84472 320.0  11.0
3.39729  94.00462   7.06556  600.43097   91.51267 320.0  11.0
3.50063  93.91776   7.06556  532.33221   86.44942 320.0  11.0
3.60397  93.83091   7.06556  399.38641   75.97044 320.0  11.0
3.70731  93.74405   7.06556  275.98572   74.10855 320.0  11.0
3.81064  93.65720   7.06556  214.33867   89.16742 320.0  11.0
3.91398  93.57034   7.06556  219.81889   92.80807 320.0  11.0
4.01732  93.48349   7.06556  233.09436   92.44136 320.0  11.0
4.12066  93.39664   7.06556  268.16898   85.30254 320.0  11.0
4.22400  93.30978   7.06556  307.58939   83.92915 320.0  11.0
4.32733  93.22292   7.06556  370.09619   87.61942 320.0  11.0
4.43067  93.13607   7.06556  476.99060   92.89312 320.0  11.0
4.53401  93.04922   7.06556  527.28540  100.93571 320.0  11.0
4.63735  92.96236   7.06556  545.65387  108.67836 320.0  11.0
4.74069  92.87550   7.06556  518.07983  115.13268 320.0  11.0
4.84402  92.78865   7.06556  462.93845  117.22669 320.0  11.0
4.94736  92.70180   7.06556  353.66531  112.05051 320.0  11.0
5.05070  92.61494   7.06556  268.29272  102.18288 320.0  11.0
5.15404  92.52808   7.06556  158.78752   93.47227 320.0  11.0
2.22533  95.12816   9.35527  497.27859   82.61981 320.0  11.0
2.32867  95.04131   9.35527  821.69604   70.90561 320.0  11.0
2.43201  94.95445   9.35527  899.35419   67.01442 320.0  11.0
2.53535  94.86759   9.35527  805.65100   69.92756 320.0  11.0
2.63868  94.78074   9.35527  677.21906   84.23901 320.0  11.0
2.74202  94.69389   9.35527  636.01831  103.08198 320.0  11.0
2.84536  94.60703   9.35527  607.34357  111.32457 320.0  11.0
2.94870  94.52018   9.35527  691.92230  105.90118 320.0  11.0
3.05204  94.43332   9.35527  847.96680  105.53690 320.0  11.0
3.15537  94.34647   9.35527  998.21564  109.06137 320.0  11.0
3.25871  94.25961   9.35527 1185.92883  105.35725 320.0  11.0
3.36205  94.17276   9.35527 1232.60327   97.50832 320.0  11.0
3.46539  94.08590   9.35527 1171.33484   92.41860 320.0  11.0
3.56872  93.99905   9.35527  984.73462   84.89289 320.0  11.0
3.67206  93.91219   9.35527  763.31628   80.79171 320.0  11.0
3.77540  93.82534   9.35527  534.24500   83.25300 320.0  11.0
3.87874  93.73849   9.35527  426.39935   85.46501 320.0  11.0
3.98208  93.65163   9.35527  391.61179   89.66384 320.0  11.0
4.08541  93.56477   9.35527  419.28238   90.28026 320.0  11.0
4.18875  93.47792   9.35527  482.44510   89.10442 320.0  11.0
4.29209  93.39107   9.35527  559.36304   87.27731 320.0  11.0
4.39543  93.30421   9.35527  695.37305   88.81551 320.0  11.0
4.49877  93.21735   9.35527  853.64270   96.52737 320.0  11.0
4.60210  93.13050   9.35527  956.14740  105.52227 320.0  11.0
4.70544  93.04365   9.35527 1016.14734  111.04109 320.0  11.0
4.80878  92.95679   9.35527 1015.44458  114.55550 320.0  11.0
4.91212  92.86993   9.35527  900.65558  115.90681 320.0  11.0
5.01546  92.78308   9.35527  694.20721  112.80830 320.0  11.0
5.11879  92.69623   9.35527  485.12222  103.63413 320.0  11.0
5.22213  92.60938   9.35527  283.61057   97.18993 320.0  11.0
2.29343  95.20944  11.64498  563.80042   67.80302 320.0  11.0
2.39676  95.12259  11.64498  909.43530   67.03932 320.0  11.0
2.50010  95.03574  11.64498  950.06677   70.79063 320.0  11.0
2.60344  94.94888  11.64498  871.39117   82.47354 320.0  11.0
2.70678  94.86203  11.64498  809.06384   96.70280 320.0  11.0
2.81012  94.77517  11.64498  759.18829  101.71848 320.0  11.0
2.91345  94.68832  11.64498  710.90143   95.62146 320.0  11.0
3.01679  94.60146  11.64498  802.52808   92.91119 320.0  11.0
3.12013  94.51461  11.64498  957.41119  101.54453 320.0  11.0
3.22347  94.42775  11.64498 1174.86768  114.31596 320.0  11.0
3.32681  94.34090  11.64498 1431.07825  108.79321 320.0  11.0
3.43014  94.25404  11.64498 1580.16772   99.11536 320.0  11.0
3.53348  94.16719  11.64498 1582.34436   92.42626 320.0  11.0
3.63682  94.08034  11.64498 1393.22107   85.06622 320.0  11.0
3.74016  93.99348  11.64498 1088.07996   80.62834 320.0  11.0
