1	0.0	0.73	1
1r-1	0.92	0.97	a
2	1.67	1.87	2
2r-1	2.01	2.04	a
2r-2	2.12	2.14	a
2A	2.48	2.92	2A
2A	3.01	3.05	a
2A	3.15	3.40	a
3.1	3.86	3.98	3
3.2	4.12	4.26	a
3.2r-1	4.41	4.49	a
3.3	4.59	4.79	a
3A	5.41	5.70	3A
3A	5.78	6.07	a
3B	6.42	6.55	3B
4	6.77	6.86	a
4	6.94	7.34	4
4	7.39	7.44	a
4A	7.81	8.18	4A
4Ar-1	8.40	8.49	a
4Ar-2	8.80	8.87	a
5	8.98	9.13	5
5	9.17	9.47	a
5	9.48	9.75	a
5	9.78	10.03	a
5	10.05	10.30	a
5r-1	10.43	10.48	a
5r-2	10.91	10.99	a
5A.1	11.47	11.63	A
5A.2	11.77	12.03	a
5Ar-1	12.36	12.41	a
5Ar-2	12.49	12.54	a
5AA	12.76	12.94	a
5AB	13.15	13.41	a
5AC	13.65	14.04	a
5AD	14.16	14.63	a
5B.1	14.82	14.93	B
5B.2	15.09	15.23	a
5C	16.20	16.50	C
5C	16.54	16.72	a
5C	16.79	16.98	a
5D	17.58	17.91	D
5Dr-1	18.13	18.15	a
5E	18.59	19.12	E
6	19.41	20.50	6
6A.1	20.95	21.22	a
6A.2	21.45	21.78	a
6AA	21.97	22.14	A
6AAr-1	22.34	22.43	a
6B	22.65	23.06	B
6C.1	23.37	23.54	a
6C.2	23.76	23.90	C
6C.3	24.15	24.32	a
7	25.75	25.88	7
7	25.94	26.27	a
7A	26.74	26.95	A
8	27.27	27.36	a
8	27.44	28.27	8
9	28.73	29.39	9
9	29.45	29.91	a
10	30.48	30.84	10
10	30.90	31.17	a
11	32.19	32.58	11
11	32.65	33.11	a
12	33.57	34.06	12
13	36.73	36.95	13
13	37.02	37.40	a
15	38.64	38.80	15
15	38.83	38.98	a
15A	39.30	39.48	A
16	39.60	39.82	16
16	39.86	40.17	a
17	40.39	41.07	17
17	41.13	41.29	a
17	41.34	41.60	a
18	41.74	42.08	18
18	42.14	42.47	a
18	42.51	42.84	a
19	43.52	43.87	19
20	44.31	45.49	20
21	47.46	48.69	21
22	49.91	50.43	22
23	51.60	52.02	23
23r-1	52.22	52.26	a
24.1	52.36	52.55	24.1
24.2	52.77	53.13	24.2
25	55.60	56.33	25
26	57.52	58.19	26
27	61.00	61.92	27
28	62.55	63.57	28
29	64.03	64.86	29
30	65.39	66.88	30
31	66.97	67.74	31
32.1	69.48	69.72	32.1
32.2	69.96	71.40	32.2
32r-1	71.76	71.81	a
33	72.06	78.53	33
34	82.93	118.21	34(KQZ)
M1n	119.0	122.46	M1n
M2	122.96	123.83	M2
M4	126.42	127.64	M4
M6n	128.31	128.49	M6n
M7n	128.63	128.83	M7n
M8n	129.33	129.73	M8n
M9n	130.03	130.38	M9n
M10n	130.96	131.39	M10n
M10Nn	131.80	132.24	M10Nn
M10Nn	132.29	132.71	a
M10Nn	132.73	133.11	a
M11n	133.43	134.42	M11n
M11-1	134.98	135.03	a
M11An	135.49	136.39	A
M12n	136.52	136.89	M12n
M12.2n	137.79	137.91	a
M12An	138.15	138.55	A
M13n	138.69	138.99	M13n
M14n	139.51	139.84	M14n
M15n	140.85	141.64	M15n
M16n	142.28	144.08	M16n
M17n	144.81	145.27	M17n
M18n	146.94	147.57	M18n
M19n	148.04	148.18	M19n
M19n	148.27	149.21	a
M20n	149.93	150.27	M20n
M20n	150.34	151.07	a
M21n	152.03	153.24	M21n
M22n	153.77	155.51	M22n
M22n	155.57	155.63	a
M22n	155.69	155.77	a
M22An	156.71	156.86	A
M23n	157.06	157.47	M23n
M23-1	157.79	157.81	a
M24n	158.51	158.89	M24n
M24An	159.56	159.70	A
M24Bn	160.00	160.40	B
M25n	160.58	160.90	M25n
M25An	161.19	161.36	A
M25An	161.45	161.56	a
M25An	161.65	161.80	a
M26n	161.92	162.03	M26n
M26n	162.12	162.20	a
M26n	162.29	162.38	a
M26n	162.43	162.45	a
M27n	162.82	163.05	M27n
M28n	163.22	163.55	M28n
M29n	163.78	164.82	M29n
