C1n      0.000 0.780	1
C1r.1n   0.990 1.070	a
C2n      1.770 1.950	2
C2r.1n   2.140 2.150	a
C2An.1n  2.581 3.040	2A
C2An.2n  3.110 3.220	a
C2An.3n  3.330 3.580	a
C3n.1n   4.180 4.290	3
C3n.2n   4.480 4.620	a
C3n.3n   4.800 4.890	a
C3n.4n   4.980 5.230	a
C3An.1n  5.894 6.137	3A
C3An.2n  6.269 6.567	a
C3Bn     6.935 7.091	a
C3Br.1n  7.135 7.170	a
C3Br.2n  7.341 7.375	a
C4n.1n   7.432 7.562	4
C4n.2n   7.650 8.072	a
C4r.1n   8.225 8.257	a
C4An     8.699 9.025	4A
C4Ar.1n  9.230 9.308	a
C4Ar.2n  9.580 9.642	a
C5n.1n   9.740 9.880	5
C5n.2n   9.920 10.949	a
C5r.1n   11.052 11.099	a
C5r.2n   11.476 11.531	a
C5An.1n  11.935 12.078	A
C5An.2n  12.184 12.401	a
C5Ar.1n  12.678 12.708	a
C5Ar.2n  12.775 12.819	a
C5AAn    12.991 13.139	AA
C5ABn    13.302 13.510	a
C5ACn    13.703 14.076	a
C5ADn    14.178 14.612	a
C5Bn.1n  14.800 14.888	B
C5Bn.2n  15.034 15.155	a
C5Cn.1n  16.014 16.293	C
C5Cn.2n  16.327 16.488	a
C5Cn.3n  16.556 16.726	a
C5Dn     17.277 17.615	D
C5En     18.281 18.781	E
C6n      19.048 20.131	6
C6An.1n  20.518 20.725	a
C6An.2n  20.996 21.320	a
C6AAn    21.768 21.859	A
C6AAr.1n 22.151 22.248	a
C6AAr.2n 22.459 22.493	a
C6Bn.1n  22.588 22.750	B
C6Bn.2n  22.804 23.069	a
C6Cn.1n  23.353 23.535	C
C6Cn.2n  23.677 23.800	a
C6Cn.3n  23.999 24.118	a
C7n.1n   24.730 24.781	7
C7n.2n   24.835 25.183	a
C7An     25.496 25.648	A
C8n.1n   25.823 25.951	8
C8n.2n   25.992 26.554	a
C9n      27.027 27.972	9
C10n.1n  28.283 28.512	10
C10n.2n  28.578 28.745	a
C11n.1n  29.401 29.662	11
C11n.2n  29.765 30.098	a
C12n     30.479 30.939	12
C13n     33.058 33.545	13
C15n     34.655 34.940	15
C16n.1n  35.343 35.526	16
C16n.2n  35.685 36.341	a
C17n.1n  36.618 37.473	17
C17n.2n  37.604 37.848	a
C17n.3n  37.920 38.113	a
C18n.1n  38.426 39.552	18
C18n.2n  39.631 40.130	a
C19n     41.257 41.521	19
C20n     42.536 43.789	20
C21n     46.264 47.906	21
C22n     49.037 49.714	22
C23n.1n  50.778 50.946	23
C23n.2n  51.047 51.743	a
C24n.1n  52.364 52.663	24
C24n.2n  52.757 52.801	a
C24n.3n  52.903 53.347	a
C25n     55.904 56.391	25
C26n     57.554 57.911	26
C27n     60.920 61.276	27
C28n     62.499 63.634	28
C29n     63.976 64.745	29
C30n     65.578 67.610	30
C31n     67.735 68.737	31
C32n.1n  71.071 71.338	32
C32n.2n  71.587 73.004	a
C32r.1n  73.291 73.374	a
C33n     73.619 79.075	33
C34n     83.000 118.00	34(KQZ)
M1n	119.0	122.46	M1n
M2	122.96	123.83	M2
M4	126.42	127.64	M4
M6n	128.31	128.49	M6n
M7n	128.63	128.83	M7n
M8n	129.33	129.73	M8n
M9n	130.03	130.38	M9n
M10n	130.96	131.39	M10n
M10Nn	131.80	132.24	M10Nn
M10Nn	132.29	132.71	a
M10Nn	132.73	133.11	a
M11n	133.43	134.42	M11n
M11-1	134.98	135.03	a
M11An	135.49	136.39	A
M12n	136.52	136.89	M12n
M12.2n	137.79	137.91	a
M12An	138.15	138.55	A
M13n	138.69	138.99	M13n
M14n	139.51	139.84	M14n
M15n	140.85	141.64	M15n
M16n	142.28	144.08	M16n
M17n	144.81	145.27	M17n
M18n	146.94	147.57	M18n
M19n	148.04	148.18	M19n
M19n	148.27	149.21	a
M20n	149.93	150.27	M20n
M20n	150.34	151.07	a
M21n	152.03	153.24	M21n
M22n	153.77	155.51	M22n
M22n	155.57	155.63	a
M22n	155.69	155.77	a
M22An	156.71	156.86	A
M23n	157.06	157.47	M23n
M23-1	157.79	157.81	a
M24n	158.51	158.89	M24n
M24An	159.56	159.70	A
M24Bn	160.00	160.40	B
M25n	160.58	160.90	M25n
M25An	161.19	161.36	A
M25An	161.45	161.56	a
M25An	161.65	161.80	a
M26n	161.92	162.03	M26n
M26n	162.12	162.20	a
M26n	162.29	162.38	a
M26n	162.43	162.45	a
M27n	162.82	163.05	M27n
M28n	163.22	163.55	M28n
M29n	163.78	164.82	M29n
