50.17      6.85   WEST_EIFEL_VOLC_FIELD         Germany            Maars               Radiocarbon
45.775     2.97   CHAINE_DES_PUYS               France             Cinder_cones        Radiocarbon
42.17      2.53   OLOT_VOLC_FIELD               Spain              Pyroclastic_cones   Holocene
38.87     -4.02   CALATRAVA_VOLC_FIELD		Spain		   Pyroclastic_cones   Radiocarbon
43.25     10.87   LARDERELLO                    Italy              Explosion_craters   Historical
42.90     11.63   AMIATA                        Italy              Lava_domes          Pleistocene-Fumarolic
42.60     11.93   VULSINI                       Italy              Caldera             Historical
41.73     12.70   COLLI_ALBANI                  Italy              Caldera             Holocene?
40.827    14.139  CAMPI_FLEGREI                 Italy              Caldera             Historical
40.821    14.426  VESUVIUS                      Italy              Complex_volcano     Historical
40.73     13.897  ISCHIA                        Italy              Complex_volcano     Historical
39.48     14.83   PALINURO			Italy		   Submarine_volcano   Radiocarbon
38.789    15.213  STROMBOLI                     Italy              Stratovolcano       Historical
38.48     14.95   LIPARI                        Italy              Stratovolcano       Historical
38.404    14.962  VULCANO                       Italy              Stratovolcano       Historical
37.734    15.004  ETNA                          Italy              Shield_volcano      Historical
37.10     12.70   CAMPI_FLEGREI_MAR_SICILIA     Italy              Submarine_volcanoes Historical
36.77     12.02   PANTELLERIA                   Italy              Shield_volcano      Historical
37.615    23.336  METHANA                       Greece             Lava_domes          Historical
36.699    24.439  MILOS                         Greece             Stratovolcanoes     Holocene
36.404    25.396  SANTORINI                     Greece             Shield_volcanoes    Historical
36.586    27.160  NISYROS                       Greece             Stratovolcano       Historical
36.671    27.140  YALI                          Greece             Lava_domes          Holocene
36.852    27.251  KOS                           Greece             Fumarole_fields     Pleistocene-Fumarolic
38.58     28.52   KULA                          Turkey             Cinder_cones        Holocene
37.67     33.65   KARAPINAR_FIELD               Turkey             Cinder_cones        Holocene
38.13     34.17   HASAN_DAGI                    Turkey             Stratovolcano       Holocene
38.25     34.57   GOLLU_DAG                     Turkey             Lava_dome           Holocene?
38.57     34.52   ACIGOL-NEVSEHIR               Turkey             Caldera             Holocene
38.52     35.48   ERCIYES_DAGI                  Turkey             Stratovolcano       Holocene
37.67     39.83   KARACALIDAG                   Turkey             Shield_volcano      Holocene
38.65     42.23   NEMRUT_DAGI                   Turkey             Stratovolcano       Historical
38.92     42.82   SUPHAN_DAGI                   Turkey             Stratovolcano       Holocene
39.17     43.33   GIREKOL_TEPE                  Turkey             Shield_volcano      Holocene
39.37     43.87   TENDUREK_DAGI                 Turkey             Shield_volcano      Holocene
39.70     44.30   ARARAT                        Turkey             Stratovolcano       Holocene
40.75     42.90   KARS_PLATEAU                  Turkey             Volcanic_field      Holocene?
43.33     42.45   ELBRUS                        SW_Russia          Stratovolcano       Tephrochronology
42.70     44.50   KASBEK                        Georgia            Stratovolcano       Tephrochronology
42.55     44.00   KABARGIN_OTH_GROUP            Georgia            Cinder_cones        Holocene
42.45     44.25   UNNAMED                       Georgia            Cinder_cones        Holocene
41.55     43.60   UNNAMED                       Georgia            Lava_cones          Holocene
40.53     44.20   ARAGATS                       Armenia            Stratovolcano       Holocene
40.275    44.75   GHEGAM-RIDGE	                Armenia            Volcanic_field      Anthropology
39.70     45.542  DAR-ALAGES                    Armenia            Pyroclastic_cones   Anthropology
40.02     45.78   PORAK		                Armenia            Stratovolcano       Anthropology
39.73     46.02	  TSKHOUK-KARCKAR		Armenia            Pyroclastic_cones   Tephrochronology
15.55     41.83   JEBEL_AT_TAIR                 Yemen              Stratovolcano       Historical
15.05     42.18   JEBEL_ZUBAIR                  Yemen              Shield_volcano      Historical
14.02	  42.75	  ZUKUR				Yemen              Shield_volcano      Holocene
13.72	  42.73	  HANISH			Yemen              Shield_volcano      Holocene
15.042    39.82   JALUA                         Eritrea            Stratovolcano       Holocene
14.88     39.92   ALID                          Eritrea            Stratovolcano       Holocene
14.242    40.30   DALLOL                        Ethiopia           Explosion_crater    Historical
13.975    40.408  GADA_ALE                      Ethiopia           Stratovolcano       Holocene
13.825    40.508  ALU                           Ethiopia           Fissure_vents       Holocene
13.792    40.55   DALAFFILLA                    Ethiopia           Stratovolcano       Holocene
13.725    40.60   BORALE_ALE                    Ethiopia           Stratovolcano       Holocene
13.60     40.67   ERTA_ALE                      Ethiopia           Shield_volcano      Historical
13.52     40.63   ALE_BAGU                      Ethiopia           Stratovolcano       Holocene
13.50     40.72   HAYLI_GUBBI                   Ethiopia           Shield_volcano      Holocene
13.58     41.808  DUBBI                         Eritrea            Stratovolcano       Historical
13.37     41.70   NABRO                         Eritrea            Stratovolcano       Holocene?
13.27     41.65   MALLAHLE                      Ethiopia           Stratovolcano       Holocene?
13.18     41.725  SORK_ALE                      Ethiopia           Stratovolcano       Holocene?
13.07     41.60   ASAVYO                        Ethiopia           Shield_volcano      Holocene
13.10     41.15   MAT_ALA                       Ethiopia           Shield_volcano      Holocene
13.28     41.07   TAT_ALI                       Ethiopia           Shield_volcano      Holocene
13.30     40.98   BORAWLI                       Ethiopia           Stratovolcano       Holocene
13.08     40.85   AFDERÀ                        Ethiopia           Stratovolcano       Holocene?
13.02     40.20   MA_ALALTA                     Ethiopia           Stratovolcano       Holocene
12.88     40.57   ALAYTA                        Ethiopia           Shield_volcano      Historical
12.60     40.48   DABBAHU                       Ethiopia           Stratovolcano       Holocene
12.38     40.07   DABBAYRA                      Ethiopia           Shield_volcano      Holocene
12.17     40.82   MANDA_HARARO                  Ethiopia           Shield_volcano      Historical
11.73     40.25   GROPPO                        Ethiopia           Stratovolcano       Holocene
11.88     41.208  KURUB                         Ethiopia           Shield_volcano      Holocene
11.75     41.18   MANDA_GARGORI                 Ethiopia           Fissure_vents       Anthropology
11.63     41.45   BORAWLI                       Ethiopia           Lava_domes          Holocene
12.38     42.20   MANDA-INAKIR                  Ethiopia/Djibouti  Fissure_vents       Anthropology
12.47     42.40   MOUSA_ALLI                    Ethiopia/Eritrea/Djibouti           Stratovolcano       Holocene
12.55     42.53   GUFA                          Eritrea/Djibouti            Volcanic_field      Holocene
12.95     42.43   ASSAB_VOLC_FIELD              Eritrea            Volcanic_field      Holocene
11.58     42.47   ARDOUKÔBA                     Djibouti           Fissure_vents       Historical
11.42     42.20   GARBES                        Djibouti           Fumarole_field      Pleistocene-Fumarolic
11.25     41.83   BOINA                         Djibouti           Fumarole_field      Pleistocene-Fumarolic
11.28     41.63   DAMA_ALI                      Ethiopia           Shield_volcano      Historical
11.08     41.27   GABILLEMA                     Ethiopia           Stratovolcano       Holocene
10.58     41.042  YANGUDI                       Ethiopia           Complex_volcano     Holocene
10.082    40.702  AYELU                         Ethiopia           Stratovolcano       Holocene
