Europe vs North America
132.98  66.44   -2.57   10.95   Gaina et al (2002) (Q)
132.51  68.91   -5.09   20.13   Gaina et al (2002) (Q)
131.53  68.22   -7.65   33.058  Gaina et al (2002) (Q)
138.44  65.38  -10.96   47.906  Gaina et al (2002) (Q)
144.26  63.07  -12.82   53.347  Gaina et al (2002) (Q)
145.06  56.17  -13.24   55.904  Gaina et al (2002) (Q)
147.06  54.45  -15.86   68.737  Gaina et al (2002) (Q)
147.75  63.4   -18.48   79.075  Gaina et al (2002) (Q)
148.91  66.54  -19.7    83.5    Sriva and Roest (1989)
150.26  66.67  -20.37   92      Sriva and Roest (1989)
152.34  66.85  -21.49   105     Sriva and Roest (1989)
154.75  68.99  -23.05   118     Sriva and Roest (1989)
154.75  68.99  -23.05   145     Sriva and Roest (1989)
154.75  68.99  -23.64   200     Torsvik et al (2008) (Q)
27      88     -38      240     Bullard et al (1965) (Q)
27      88     -38      425     Bullard et al (1965) (Q)

Greenland vs North America
260.9   62.8    -2.8     47.906 Gaina et al (in prep)(Q)
243.07  40.64   -3.615   53.347 Gaina et al (in prep)(Q)
221.8   20.3    -3       55.904 Gaina et al (in prep)(Q)
223.6   52.86   -6.28    68.737 Gaina et al (in prep)(Q)
-122.45 65.3   -11       83.5   Roest and Sriva (1989)
-119.48 66.6   -12.2     92     Roest and Sriva (1989)
-118.96 67.08  -12.99   105     Roest and Sriva (1989)
-118.48 67.5   -13.78   118     Roest and Sriva (1989)
-118.48 67.5   -13.78   245     Roest and Sriva (1989)

North America vs Northwest Africa
22.82   80.89    2.478    9.7    Muller et al (1997) (Q)
23.28   80.89    5.244   19     Muller et al (1997) (Q)
28.56   79.34    7.042   25.8   Muller et al (1997) (Q)
5.98    75.99    9.767   33.1   Muller et al (1997) (Q)
0.19    74.54   11.918   38.4   Muller et al (1997) (Q)
-2.8    74.38   13.56    42.5   Muller et al (1993)
-5.01   74.23   15.106   46.3   Muller et al (1997) (Q)
-4.26   75.29   15.95    49     Muller et al (1993)
-1.61   77.34   16.963   52.4   Muller et al (1997) (Q)
6.57    80.64   17.895   55.9   Muller et al (1997) (Q)
2.93    82.74   20.84    65.6   Muller et al (1997) (Q)
-8.32   81.35   22.753   71.1   Muller et al (1997) (Q)
-10.64  81.11   23.74    73.6   Muller et al (1993)
-18.16  78.64   26.99    79.1   Muller et al (1993)
-20.59  76.81   29.51    83.5   Muller et al (1993)
-22.65  74.33   33.86    89.9   Muller and Roest (1992)
-24.39  72      36.49    94.1   Muller and Roest (1992)
-23.52  69.42   40.46   100     Muller and Roest (1992)
-22.66  68.08   45.36   106.9   Muller and Roest (1992)
-21     66.21   53.19   118.1   Muller and Roest (1992)
-20.17  66.09   54.45   119.7   Roest et al (1992)
-19.43  65.97   56.63   125.8   Roest et al (1992)
